timestamp,dataset,model,model_type,run_type,metric,transform,transform_param,score
20241028_134423,caltech,regnet,cnn,NT,test_accuracy_macro,channel_shuffle,6,0.23583917319774628
20241028_150519,imagenet,regnety,cnn,PT,test_accuracy_macro,gaussian,5.0,0.25119733810424805
20241028_115537,rgb_bigearthnet,densenet,cnn,NT,test_mAP_macro,greyscale,1,0.4303658604621887
20241028_165833,imagenet,cait,transformer,PT,test_accuracy_macro,patch_shuffle,2,0.811989426612854
20241028_155521,caltech_120,regnet,cnn,NT,test_accuracy_macro,bilateral,0,0.5536187887191772
20241028_141741,bigearthnet,cait,transformer,NT,test_mAP_macro,median,31,0.5874765515327454
20241028_105931,deepglobe,regnet,cnn,NT,test_mAP_macro,channel_inversion,12,0.2210920751094818
20241028_170050,caltech_120,pvt,transformer,NT,test_accuracy_macro,patch_rotation,6,0.49369919300079346
20241028_151821,bigearthnet,beit,transformer,NT,test_mAP_macro,sobel,3,0.29106396436691284
20241028_144321,caltech,swin,transformer,NT,test_accuracy_macro,patch_shuffle,4,0.2625883221626282
20241028_142854,caltech,vit,transformer,NT,test_accuracy_macro,median,9,0.49185723066329956
20241028_133355,caltech,convnext,cnn,NT,test_accuracy_macro,median,15,0.5464150309562683
20241028_154551,caltech_120,efficientnet,cnn,NT,test_accuracy_macro,patch_shuffle,6,0.077406145632267
20241028_142239,rgb_bigearthnet,cait,transformer,NT,test_mAP_macro,patch_rotation,11,0.5791624784469604
20241028_141925,bigearthnet,cait,transformer,NT,test_mAP_macro,gaussian,3.0,0.6665266156196594
20241028_115132,deepglobe,inception,cnn,NT,test_mAP_macro,channel_inversion,12,0.22842690348625183
20241028_135127,bigearthnet,deit,transformer,NT,test_mAP_macro,median,15,0.6338545083999634
20241028_160753,caltech_120,densenet,cnn,NT,test_accuracy_macro,greyscale,1,0.6552006602287292
20241028_121422,bigearthnet,resnext,cnn,NT,test_mAP_macro,channel_inversion,6,0.21569015085697174
20241028_140040,caltech,resnext,cnn,NT,test_accuracy_macro,channel_inversion,6,0.0816667303442955
20241028_160450,caltech_120,densenet,cnn,NT,test_accuracy_macro,patch_shuffle,6,0.14930082857608795
20241028_163001,imagenet,swin,transformer,PT,test_accuracy_macro,sobel,0,0.8631723523139954
20241028_141458,caltech,inception,cnn,NT,test_accuracy_macro,bilateral,9,0.32896387577056885
20241028_165802,imagenet,cait,transformer,PT,test_accuracy_macro,patch_shuffle,1,0.8488772511482239
20241028_120255,deepglobe,vit,transformer,NT,test_mAP_macro,median,3,0.23141972720623016
20241028_131918,bigearthnet,regnety,cnn,NT,test_mAP_macro,sobel,3,0.2919946312904358
20241028_110022,deepglobe,densenet,cnn,NT,test_mAP_macro,bilateral,3,0.2452475130558014
20241028_133339,caltech,convnext,cnn,NT,test_accuracy_macro,median,5,0.5382112860679626
20241028_150824,bigearthnet,beit,transformer,NT,test_mAP_macro,bilateral,3,0.6608358025550842
20241028_121636,deepglobe,deit,transformer,NT,test_mAP_macro,channel_shuffle,0,0.6655840873718262
20241009_111530,caltech,cait,transformer,ST,test_accuracy_macro,,,0.4662453532218933
20241028_134419,rgb_bigearthnet,deit,transformer,NT,test_mAP_macro,bilateral,31,0.41367125511169434
20241028_131917,caltech,resnet,cnn,NT,test_accuracy_macro,median,5,0.502924919128418
20241028_120354,deepglobe,vit,transformer,NT,test_mAP_macro,gaussian,0.5,0.6741496324539185
20241028_171734,caltech_120,convmixer,transformer,NT,test_accuracy_macro,median,3,0.45055463910102844
20241028_172252,caltech_120,convmixer,transformer,NT,test_accuracy_macro,channel_inversion,3,0.05434530973434448
20241028_164149,caltech_120,vit,transformer,NT,test_accuracy_macro,patch_rotation,11,0.4172374904155731
20241028_163830,imagenet,swin,transformer,PT,test_accuracy_macro,channel_shuffle,2,0.6798393130302429
20241028_110831,imagenet,efficientnet,cnn,PT,test_accuracy_macro,channel_inversion,1,0.5229998230934143
20241028_140535,imagenet,xception,cnn,PT,test_accuracy_macro,gaussian,2.0,0.4016813337802887
